grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
7c,Selamin aleyküm,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,River dance,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c+,Rocket man,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b+,Fenster mit Aussicht,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
7a,Agustos Bosegi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Cressendo,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,N.N. 4,,Yeni Kanyon,Yenicay,1,0 %,0 %,5
6a,Spider Solitaire (Crag misspelled „ottoman“),,Ottoman,Ottoman,1,100 %,0 %,1
6b+,Hart aber Hertzlich,,Heart,Heart,1,0 %,0 %,1
6b,Bison,,Sarkit,Sarkit,1,100 %,0 %,1
7a,Agusto Bocegi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Star Wars 1,,Küllüin,Küllüin,1,0 %,0 %,0
7b,Soldan 12.,,Trebenna/Patagonya,Trebenna/Patagonya,1,0 %,0 %,0
7a,psycho sheppard,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,salt and pepper,,okuzini,Oekuezini,1,100 %,0 %,0
7b+,High voltage L1,,Güzel Manzara,Güzel Manzara,1,0 %,0 %,3
7a,Korana,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,flying dudechman,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c,rüzgalı bahçe en soldaki rota,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7c+,Goikalde berrikoa,,Trebenna West,Trebenna West,1,0 %,0 %,5
7a,N.N. (house),,Trebenna West,Trebenna West,1,100 %,0 %,5
7b,Matbaim,,Trebenna,Trebenna West,1,100 %,0 %,0
7a,Golden Rifle,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7b+,N.N. 18,,Trebenna West left,Trebenna West,1,100 %,100 %,0
6c,Tuzdele,,Trebenna West - Raki,Trebenna West,1,100 %,0 %,5
7c,N.N.,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
8b,Mambo Kurt,,Cesme,Cesme,1,0 %,0 %,5
7a+,Flohwalzer,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a,Camelita,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Crescendo,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,N.N.,,Küllüin,Küllüin,1,100 %,0 %,0
7c+,Pumping on mother's breasts,,Unknown Sector,Unknown Sector,1,0 %,0 %,1
7b,Pipis popos,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Passenger,,Anatolia,Anatolia,1,100 %,0 %,0
7b,1 re von come as you are,,Mevlana,Mevlana,1,100 %,0 %,0
7b,Demirkazık,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c+,Siri Birhtday Project,,Turkish Standard,Turkish Standard,1,0 %,0 %,0
7b+,Boltarin,,Kanyon,Kanyon,1,0 %,0 %,0
6c,akıntıya karşı yüzmek,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,Escape to Paradise,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,Bittersweet,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Teraci lastik gimnastik,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c,hmmm3,,new,new,1,100 %,0 %,0
7b,hmmm4,,new,new,1,0 %,0 %,0
7a,hmmm2,,new,new,1,0 %,0 %,0
6c+,hmmm1,,new,new,1,100 %,0 %,0
5a,Gate,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Viagra,,Sarkit,Sarkit,1,100 %,0 %,0
6b,Nirvana,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Blue attack,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Blue hotel,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,JaJa city,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,L'homme a L'envers,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
5c,11,,Küllin1,Küllüin,1,100 %,0 %,0
5a,7,,Sincap,Sincap,1,100 %,0 %,0
4a,diagonal,,derin çatlak,derin çatlak,1,100 %,0 %,0
4a,derin çatlak 2,,derin çatlak,derin çatlak,1,100 %,0 %,0
6b,Makasu,,Kekik,Geyik,1,100 %,0 %,0
6b,N.N.,,Esekuctu,Esekuctu,1,100 %,0 %,3
7b,Come on come on come,,Citdibi,Citdibi,1,100 %,0 %,3
5c,Hoş Geldiniz,,Sandal,Sandal,1,100 %,0 %,5
5c,Bayır 2 Ben 0,,Unknown Sector,Unknown Sector,1,0 %,0 %,4
5b,Gündönümü,,Top Alanı,Top Alanı,1,100 %,0 %,3
6a,Ekmek,,Zeytinlik,Zeytinlik,1,100 %,0 %,3
6a,Drama qeen,,Sarkit,Sarkit,1,100 %,0 %,3
6a,Citywatch (1L),,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
5a,"2,5",,sincap 2,Sincap,1,100 %,0 %,0
6b+,Uckagitci Asih,,Sarkit,Sarkit,1,100 %,0 %,0
6b,Toros,,Dragon,Dragon,1,100 %,0 %,0
7b+,S - class,,Trebenna,Trebenna West,1,100 %,0 %,0
6b+,Who are you,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a,�ikomigro,,Dragon,Dragon,1,100 %,0 %,1
6a+,Bırt,,Kanyon left,Kanyon,1,100 %,0 %,0
5b,Cinfonic,,Küllüin,Küllüin,1,100 %,0 %,0
6a,Pink pantera,,Trebenna West,Trebenna West,1,0 %,0 %,0
7a+,L empire Ottoman,,Ottoman,Ottoman,1,100 %,0 %,5
6b,Lu,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Wrong Route,,Mevlana,Mevlana,1,100 %,0 %,0
7a+,Drop zone,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Seek and destroy,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Crescendo,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c+,white spirit,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7c+,white elephant,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
7a+,Beyaz sahin,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b+,Pompei,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,Little big wall,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,Kabilin Ucurtmalari,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,No Remorse,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c,Fanta 4,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
6c,Gozleme Station,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a+,Empire Ottoman,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,N.N.,,Echoes extention,Echoes,1,100 %,0 %,0
7b,Kartal Yuvasi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Hart aber Hertzlich,,Heart,Heart,1,0 %,0 %,1
6b,Bison,,Sarkit,Sarkit,1,100 %,0 %,1
7a,Agusto Bocegi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Star Wars 1,,Küllüin,Küllüin,1,0 %,0 %,0
7b,Soldan 12.,,Trebenna/Patagonya,Trebenna/Patagonya,1,0 %,0 %,0
7b+,Soldan 13.,,Trebenna/Patagonya,Trebenna/Patagonya,1,0 %,0 %,0
6c,Barbarossa 13,,Barbarossa,Barbarossa,1,0 %,0 %,0
7a+,Kelebegin,,Alibalik,Alabalik,1,0 %,0 %,0
7a,Due Strazioni,,Alabalik,Alabalik,1,0 %,0 %,0
7a+,Serbest Still,,Alabalik,Alabalik,1,100 %,0 %,1
6b+,Sut Cocogu,,Sarkit,Sarkit,1,100 %,0 %,3
6a+,N.N.,,Anatolia,Anatolia,1,100 %,0 %,1
7a,N.N. (2b),,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,Terazi lastik jimnastik (2. l),,Trebenna West,Trebenna West,1,0 %,0 %,5
7a+,N.N. (Havla),,Alabalik,Alabalik,1,0 %,0 %,0
7a,Imagination 2.Seillänge,,Sarkit,Sarkit,1,100 %,0 %,0
6a,Nulle part ailleurs,,de que fas aqui?,de que fas aqui?,1,100 %,100 %,5
6c,Drill Inspector,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
5c,Piano Hands,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6a+,No Gearrr,,Unknown Sector,Unknown Sector,1,100 %,100 %,5
6a,Sauberflöte,,Heart,Heart,1,100 %,0 %,0
7c+,Les couleurs de l eau,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,Love Hurts,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Haven's Gate 1,,Gizmo,Gizmo,1,100 %,0 %,0
5a,Y right,,Sincap,Sincap,1,100 %,0 %,1
7c,Patagonia,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a+,Drakula,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
5b,Roots of stone,,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
6a,Shairelin sultani,,Barbarossa,Barbarossa,1,100 %,0 %,0
6a+,Halife,,Barbarossa,Barbarossa,1,0 %,0 %,0
5b,Lo la,,Turkish Standard,Turkish Standard,1,100 %,0 %,0
5c,Suhsi,,Gizlibahce,Gizlibahce,1,100 %,0 %,5
5b,Mehtep,,Gizlibahce,Gizlibahce,1,100 %,0 %,5
5a,Y left,,Sincap,Sincap,1,100 %,0 %,1
5c,Left of Aramis new route,,Koridor,Koridor,1,100 %,0 %,3
7a,Uyuni,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c+,Evde Kalma,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Lunapark,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7c,Dickman,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c,N.N. (FEMA end),,Poseidon,Poseidon,1,100 %,0 %,0
7c,Name in chalk L2,,Anatolia,Anatolia,1,0 %,0 %,0
7b,Bineal,,Toki,Toki,1,0 %,0 %,3
7a+,serbest stil,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7c+,Arc'teryx,,Alabalik,Alabalik,1,0 %,0 %,0
6c+,N.N.,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b,Flintstone,,Anatolia,Anatolia,1,100 %,0 %,0
7b+,Dyno-sore,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7a,Eşek uçtu sağ,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Soldan 10.,,Esekuctu,Esekuctu,1,0 %,0 %,0
5c,Alabalik henkelei,,Alabalik,Alabalik,1,100 %,0 %,0
6b,Barbarossa hurrem sultan,,Barbarossa,Barbarossa,1,100 %,0 %,0
6c,Tentem konglomera'da,,Mevlana,Mevlana,1,100 %,0 %,0
7b+,Melting soul,,Sarkit Left,Sarkit,1,100 %,0 %,0
7a,Bizim canimiz yanmazgardas,,Trebenna West 4,Trebenna West,1,100 %,0 %,0
7a,Imegination,,Sarkit Left,Sarkit,1,100 %,0 %,0
6c+,Akintiya Krasi Yuzmek,,Geyik bayiri,Geyik,1,100 %,100 %,0
7b,Bakthi Yoga,,Ottaman,Ottoman,1,0 %,0 %,0
6a,SulCocugü,,Sarkit,Sarkit,1,100 %,0 %,3
7a,Halifen in Yerindeki Helife,,Barbarossa,Barbarossa,1,100 %,0 %,5
7b+,Born to Run,,Alabalik,Alabalik,1,0 %,100 %,0
6a+,kleines scharfes Ding,,Sincap,Sincap,1,100 %,0 %,0
8a,Melodram extantion 2,,Sarkit,Sarkit,1,0 %,0 %,0
7c+,Maelstrom extantion,,Anatolia,Anatolia,1,0 %,0 %,0
7a+,Nagelstudio Stereo L2,,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
6c+,hmmm1,,new,new,1,100 %,0 %,0
6c,hmmm3,,new,new,1,100 %,0 %,0
7b,hmmm4,,new,new,1,0 %,0 %,0
7a,hmmm2,,new,new,1,0 %,0 %,0
5a,Gate,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Viagra,,Sarkit,Sarkit,1,100 %,0 %,0
6b,Nirvana,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Blue attack,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Blue hotel,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,JaJa city,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,L'homme a L'envers,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,Montenegro,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,Amele,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a,Muhtar,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Red attack,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Dumlupinar,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,The Gathering,,Trebenna,Trebenna West,1,0 %,0 %,0
6b+,RAMIN/BIRD OF PREY,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
7a+,Sailerin Sultan,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,ten years,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c,Ipec Yolu,,Poseidon,Poseidon,1,100 %,0 %,0
6b+,Brio de Flemenco,,Barbarossa,Barbarossa,1,100 %,0 %,0
6a,Muhutar,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,wating for holidays,,Mevlana,Mevlana,1,100 %,0 %,0
7c,otnzbir,,Anatolia,Anatolia,1,0 %,0 %,0
6c+,TAC,,Trebenna,Trebenna West,1,100 %,0 %,0
6a,N.N.,,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
6c,Ala Daglar,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a+,Popodusa rock 'n roll,,Heart left,Heart,1,100 %,0 %,0
6b+,N.N. 14,,Barbarossa,Barbarossa,1,0 %,0 %,0
7a+,Bird of Prey,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,N.N.,,Citdibi,Citdibi,1,0 %,0 %,0
6c,Ederle,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7b,N.N.,,Mevlana,Mevlana,1,100 %,0 %,0
6b+,Uckagitci,,Unknown Sector,Unknown Sector,1,0 %,0 %,1
6c+,Emeki to Nadagaskar,,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
7c+,Parallel Univers,,Alabalik,Alabalik,1,0 %,0 %,5
6c,Muskelkatr,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Schacmatt,,Dragon,Dragon,1,0 %,0 %,0
7b,Blue Hotel,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7b+,Sloper poker,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Otolastic,,rusgarli bahce,Ruzgarli Left,1,100 %,100 %,0
5c,Fiene sahne fischfilet,,Mandela,Mandela,1,0 %,0 %,0
6c+,Captain Kirk,,Anatolia Right,Anatolia,1,0 %,0 %,0
6a+,Julia+Romeo,,Turkish Standard,Turkish Standard,1,100 %,0 %,0
6b+,Hart aber Herzlich,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6c+,Ce n'est pas bleau,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6c+,T.H.C.,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6c,Tiger touches sky,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Bizon,,Unknown Sector,Unknown Sector,1,100 %,100 %,0
7a,Locki,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c,Demzvend,,Poseidon,Poseidon,1,100 %,0 %,3
6c+,No women no cry,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6b+,Triologie,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
7a+,Kabilin Urcurtmalari,,Alabalik,Alabalik,1,0 %,0 %,5
6c+,Kapt'n'kirk,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
5b,"Firestarter,supernova",,Left Cave,Left Cave,1,100 %,0 %,0
7a,Sucker Punched,,Trebenna,Trebenna West,1,0 %,0 %,0
7a,N.N.,,Anatolia Right,Anatolia,1,0 %,0 %,0
6c,Tozen,,Trebena,Trebenna West,1,0 %,0 %,0
6c,ribolos,,Mevlana,Mevlana,1,100 %,0 %,0
6b+,Baby on Crack,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a,bıngıl hanımın dusleri,,Citdibi,Citdibi,1,100 %,0 %,0
6a,surya namaskar,,Citdibi,Citdibi,1,100 %,0 %,0
6a,lycian highway,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c,Es Sahhaf,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,Jimnastik,,Trebenna,Trebenna West,1,0 %,0 %,3
6a+,crying boy,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b+,playing for change p1,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
8a,Playing for change p2,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Unbreakeable,,Alaaddin,Alaaddin,1,100 %,0 %,0
6b,L'home a'lenvers,,Alabalik,Alabalik,1,100 %,0 %,0
6c+,Mezarlariniza tukuricem,,Sarkit,Sarkit,1,100 %,0 %,5
6a+,Sudkante,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,Kan ?zi,,Yilan,Yilan,1,0 %,0 %,0
6c+,N.N.,,Kulluin4,Kulluin Taras,1,0 %,0 %,3
7b,caveline magara,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a,Torus,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
7a+,N.N.,,Trebena West,Trebenna West,1,0 %,0 %,5
8a+,N.N. (droite de turkish),,Mevlana,Mevlana,1,0 %,0 %,5
7a+,Hand boiled Wonderland,,Günzel Manzara,Güzel Manzara,1,100 %,0 %,0
6b+,Arkadan,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6c,Tuzdede,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6b+,Aquaplan,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,In Ordan,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a,N.N.,,Sarkit Left,Sarkit,1,100 %,0 %,3
6b,Kolay Gelsin,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c+,Eclipse,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,Into the Wild,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7a,Sakizine,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7a,Winger food,,Alabalik Balkon,Alabalik,1,0 %,0 %,0
6c+,N.N.,,Unknown Sector,Unknown Sector,1,100 %,0 %,1
7a+,davinci mode,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c+,Chili con Carne,,Alabalik,Alabalik,1,0 %,0 %,0
7a,Yilan,,Left Cave,Left Cave,1,0 %,0 %,0
7a+,türkiye 'ye,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c,Keyir Keyir,,Geyik,Geyik,1,100 %,0 %,0
6b+,Crystal Crag,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6c+,gekko kebab,,Kebap,Kebap,1,100 %,0 %,0
7b+,New Fuking Generation,,Ruzgarli Bahce,Rüzgarli Bahçe,1,0 %,0 %,0
6c,drill instructor,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a,N.N.,,Trebena,Trebenna West,1,100 %,0 %,0
6b,yasabir,,Mevlana,Mevlana,1,100 %,0 %,0
7a,lucky,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6c,tuzbede,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Baby on Crack,,Unknown Sector,Unknown Sector,1,100 %,100 %,5
7c+,Lion,,Trebenna,Trebenna West,1,0 %,0 %,3
5a,kynetic koncert,,Left Cave,Left Cave,1,100 %,0 %,0
6b,"L,home a,lenvers",,Alabalik,Alabalik,1,0 %,0 %,0
7c,Jim beam,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,seleman alekum,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,augustas bocegi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Uran Teneke,,Magara,Magara,1,0 %,0 %,0
6b+,Hürrem Sultani,,Unknown Sector,Unknown Sector,1,100 %,0 %,1
5b,Mekter,,Gizlibahce,Gizlibahce,1,100 %,0 %,0
6b+,Mum isiginda yemek (sol/left),,magara right,Magara,1,0 %,0 %,0
6c,Antalya icin 747 nolu ucos,,Mevlana,Mevlana,1,0 %,0 %,0
7a+,Deyenenesyan,,Rüzgazli,Rüzgarli Bahçe,1,100 %,0 %,0
6a,N.N.,,Anatolia Right,Anatolia,1,100 %,0 %,1
6a+,Gremlin's edge,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,julia and romeo,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b,Isiginda yemek,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
6b+,Stalactozaurus,,Alabalik,Alabalik,1,0 %,100 %,5
7a,Ny led,,Anatolia,Anatolia,1,100 %,0 %,0
7a+,Crescndo,,Mevlana,Mevlana,1,100 %,0 %,0
6c+,Emikli to Madagaskar,,Güzel Manzara,Güzel Manzara,1,100 %,0 %,0
6c+,Siri Birthday Projekt,,Turkish Standard,Turkish Standard,1,100 %,0 %,0
6b+,Adka Özlem,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
4a,Roots of stone love,,Güzel Manzara,Güzel Manzara,1,0 %,0 %,0
7a+,Dejenerasyon,,Unknown Sector,Unknown Sector,1,0 %,0 %,3
7b+,Kretel,,Trebenna West Extension 3,Trebenna West,1,0 %,0 %,0
6a+,No reservations,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b,Hobbitt,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a+,Life is what you choose,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6b+,Sultanahmet,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
6c+,Don't eat my house,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7a,newone1,,Küllüin,Küllüin,1,100 %,0 %,3
5a,Night Scapes,,Trebenna West,Trebenna West,1,100 %,0 %,0
6b+,Westend,,Unknown Sector,Unknown Sector,1,100 %,0 %,5
7a,Jungle Speed,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
6c,Dermavend,,Poseidon,Poseidon,1,100 %,0 %,0
6c+,Starten på Anaconda,,Trebenna West,Trebenna West,1,0 %,0 %,3
6c+,Kirli köpele,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a+,Rantane,,Gizmo 2,Gizmo,1,100 %,0 %,0
7a+,Spanish thanksgiving,,Alabalik,Alabalik,1,100 %,0 %,1
5a,Renger trevel,,Trebenna West Orta,Trebenna West,1,100 %,0 %,0
5c,Lycian Highwey,,Trebenna West Orta,Trebenna West,1,100 %,100 %,0
6a+,buysense,,Barbarossa,Barbarossa,1,100 %,0 %,0
6b,brazil carnavaller,,Toki,Toki,1,100 %,0 %,0
7a+,"Blood, Sweat & Tears",,Gizmo,Gizmo,1,100 %,0 %,5
6c,Elettra,,Alcyone,Alcyone,1,100 %,0 %,3
6b,Budha's Revenge,,Moon,Moon,1,100 %,0 %,0
7b+,Slooperpoker,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6a+,Cutlerk?,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Brio De Flamenco L2,,Barbarossa,Barbarossa,1,100 %,0 %,5
7a+,N.N.,,Ottoman,Ottoman,1,100 %,0 %,0
6c+,Zen attune,,Mevlana,Mevlana,1,0 %,0 %,0
6c+,trebanna,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,N.N.,,Ottoman,Ottoman,1,0 %,0 %,3
6a,S��es Leben,,Deli Kasap,Deli Kasap,1,100 %,0 %,3
6b+,Adka �zlem,,Turkish Standard,Turkish Standard,1,0 %,0 %,5
7b,Turkiye'ye (?),,Mevlana,Mevlana,1,0 %,0 %,3
7a,Scorpion,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Sirdan Dolmasi,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,tiger touches,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a+,Gretel,,Trebena West,Trebenna West,1,100 %,100 %,5
7a+,Efe Cemalin solu yeni rota,,Küllüin,Küllüin,1,0 %,0 %,3
6c+,yeni rota kulluinde,,Küllüin,Küllüin,1,100 %,0 %,3
6b+,Koyboy kahvesi,,Küllüin,Küllüin,1,100 %,0 %,0
7a+,Bog bocegi,,Kanyon sol,Kanyon,1,100 %,0 %,0
7b,Lycian Highway,,Trebene,Trebenna West,1,100 %,0 %,0
6c,Akıntıya Karşı Yüzmek,,Trebenna West,Trebenna West,1,0 %,0 %,0
6a,Muhtar,,Unknown Sector,Unknown Sector,1,100 %,0 %,3
6a+,No reservationes,,Teras Right,Teras Left,1,100 %,0 %,0
7c+,Fixed draws,,Trebenna,Trebenna West,1,100 %,0 %,0
6a,111,,Gizmo 3,Gizmo,1,0 %,0 %,0
7a,Big Blind L1,,Sarkit Sol (Left),Sarkit,1,0 %,0 %,0
7b+,N.N. (7b+/7c),,Trebenna West,Trebenna West,1,0 %,0 %,5
7b,Gathering,,Trebenna,Trebenna West,1,100 %,0 %,0
6a+,Alaaddin,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7c,Miauu ? nouvelle voie(l1 7a),,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,N.N.,,Anatolia,Anatolia,1,100 %,0 %,3
6b+,dragon,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7a+,l'envers,,Mevlana,Mevlana,1,100 %,0 %,0
6c,Unter Strom,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b,romeo Juliet,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
6b,Acuaplan,,Trebena West,Trebenna West,1,100 %,0 %,0
7a,Eneco's last dance,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7b+,Fenter mit aussicht,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6a+,Brazil Carnaval,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
7a,newone2,,Küllüin,Küllüin,1,100 %,0 %,5
7a,NewLongOne,,Trebenna east,Trebenna West,1,100 %,0 %,5
6b+,newone wit 7a+ext,,Trebenna east,Trebenna West,1,100 %,0 %,3
7a+,Bermuda Dreieck L2,,Unknown Sector,Unknown Sector,1,0 %,0 %,5
7a,yeni rota,,trabenna new,Trebenna West,1,100 %,0 %,0
7a+,Petit suisses et yaourt,,Citdibi,Citdibi,1,100 %,0 %,5
7b,Playing for change,,Citdibi,Citdibi,1,100 %,0 %,5
6c,Angel wings,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,Kov Boy Kahresti,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
5c,Tape kadastro,,Unknown Sector,Unknown Sector,1,100 %,0 %,0
6b+,gangster barut,,Turkish Standard,Turkish Standard,1,0 %,0 %,0
6c,bağdat kafe,,Poseidon,Poseidon,1,0 %,0 %,0
7a+,N.N.,,Alabalik,Alabalik,1,100 %,100 %,0
6a+,hamem rulkan,,Barbarossa,Barbarossa,1,0 %,0 %,0
6c+,cen'est past bleau,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
7b+,Düsüzük,,Unknown Sector,Unknown Sector,1,0 %,0 %,0
