grade,name,name_clean,sector,sector_clean,ascents,fos_ratio,recommendations,stars
6a+,Echoes of the Himalaya,,Echoes,Echoes,17,88 %,18 %,3
7b,O Dolores,,Barbarossa,Barbarossa,17,47 %,12 %,4
6c,Sahi Baba,,Michi,Michi,17,65 %,12 %,3
6c+,Kirli Köpek,,Küllüin,Küllüin,17,65 %,6 %,3
6a,Süßes Leben,,Deli Kasap,Deli Kasap,17,88 %,18 %,3
6a+,Südkante,,Deli Kasap,Deli Kasap,17,88 %,18 %,2
6b,Blame It On The Boogie,,Sincap,Sincap,17,82 %,6 %,4
6b+,Welcome Baby,,Ottoman,Ottoman,17,100 %,6 %,3
6c+,Brand new start,,Michi,Michi,17,82 %,24 %,4
6c+,Şili'ye Özgürlük,,Patagonia,Patagonia,17,94 %,35 %,3
7b,Anarshit,,Cesme,Cesme,16,19 %,6 %,4
6c,Ali baba ve kirk haramiler,,Cesme,Cesme,16,81 %,6 %,4
6c,Morgenstund hat gold im mund,,Yenicay,Yenicay,16,63 %,0 %,1
5b,Fak Fakir,,Sincap,Sincap,16,100 %,13 %,3
5b,Blasehase,,Yenicay,Yenicay,16,88 %,0 %,1
7b,Blue Hotel,,Ottoman,Ottoman,16,38 %,25 %,4
6b,Kraft Durch Efes,,Küllüin,Küllüin,16,44 %,6 %,2
7c+,Plan B,,Unknown Sector,Unknown Sector,16,13 %,19 %,4
6b+,Tesaduf,,Alabalık Balkon 1,Alabalik,16,44 %,13 %,4
5c,Brio De Flamenco L1,,Barbarossa,Barbarossa,16,94 %,13 %,4
7c+,Going Out West,,Left Cave,Left Cave,16,13 %,31 %,4
6a+,İki Soğuk Biram Var Abi,,Top Alanı,Top Alanı,16,88 %,6 %,4
7a,N.N.,,Trebenna West,Trebenna West,15,80 %,7 %,3
5b,Pratik,,Geyik,Geyik,15,80 %,0 %,2
7b,N.N.,,Trebenna,Trebenna West,15,60 %,0 %,3
8b+,Phoenix,,Küllüin,Küllüin,15,0 %,33 %,4
8a,Against All Odds,,Alabalik,Alabalik,15,7 %,7 %,3
6a+,No Sun,,Kanyon,Kanyon,15,80 %,13 %,3
6c,Sandal,,Sandal,Sandal,15,87 %,33 %,4
8a,Predators,,Trebenna east,Trebenna West,15,7 %,13 %,4
5b,Luna Star,,Sincap,Sincap,15,93 %,0 %,5
7c,Ava or aaron,,Gizmo,Gizmo,15,60 %,7 %,2
5b,Jakuzi,,Magara,Magara,15,93 %,0 %,4
6b,Hippi,,Koridor,Koridor,15,80 %,7 %,2
7a+,Tenere,,Top Alanı,Top Alanı,15,53 %,20 %,4
6b+,Hero,,laboratuvar,laboratuvar,15,60 %,20 %,3
6a,Kekik,,Kekik,Geyik,14,100 %,7 %,2
6b+,Durak,,Gizlibahce,Gizlibahce,14,93 %,7 %,4
7b+,El Culto A La Vida,,Trebenna West,Trebenna West,14,29 %,7 %,2
5b,Schwupp,,Gizmo,Gizmo,14,86 %,0 %,2
7c,Escape to paradise,,Trebenna West,Trebenna West,14,21 %,0 %,3
6b,MPW,,Gizmo,Gizmo,14,79 %,7 %,2
7a,Who let the boobs out?,,Küllüin,Küllüin,14,36 %,14 %,4
8b,Rock Palace,,Trebenna West,Trebenna West,14,21 %,21 %,4
5c,Katainsche's Dance,,Sincap,Sincap,14,86 %,7 %,3
6c+,Homodeus,,Mevlana,Mevlana,14,71 %,7 %,2
5c,Bobby,,Gizmo,Gizmo,14,93 %,0 %,3
7c,Miaau,,Anatolia,Anatolia,14,50 %,14 %,3
6a+,No Gearr,,Alabalik,Alabalik,14,93 %,0 %,3
7a,Jungle Speed,,Alabalik balkon 4,Alabalik,14,71 %,0 %,2
7c,Return of the jedi,,Küllüin,Küllüin,14,7 %,0 %,3
6a,Cikomigo,,Dragon,Dragon,14,79 %,7 %,4
6c+,The last world,,Toki,Toki,14,79 %,0 %,2
6c+,Climb To Sky,,Michi,Michi,14,64 %,14 %,4
5c,Kis uykusu,,Deli Kasap,Deli Kasap,13,85 %,15 %,3
7a+,save the planet kill yourself,,Trebenna,Trebenna West,13,85 %,15 %,4
7a,Die Fetten Jahre Sind Vorbei,,Deli Kasap,Deli Kasap,13,62 %,0 %,3
7b,Kathi Cat,,Trebenna east,Trebenna West,13,31 %,39 %,4
6b+,Grashüpper,,Trebenna West,Trebenna West,13,77 %,8 %,3
6a+,Merci Michel,,Barbarossa,Barbarossa,13,77 %,0 %,3
7c,Into the wild,,Trebenna,Trebenna West,13,39 %,8 %,3
7b,Pharao's curse,,Trebenna east,Trebenna West,13,39 %,15 %,3
6b+,The End,,Mandela,Mandela,13,69 %,15 %,3
6c+,Kapt'n Kirk,,Anatolia,Anatolia,13,85 %,0 %,3
5c,Flower Tower,,Trebenna west orta/middle,Trebenna West,13,92 %,31 %,5
6b+,Bienal,,Toki,Toki,13,69 %,0 %,3
8b+,Külkedisi,,Küllüin,Küllüin,13,0 %,8 %,4
8b,Enjoy the Silence,,esek uctu,Esekuctu,13,0 %,23 %,5
8b,Climb Now Work Later,,Alabalik Balkon,Alabalik,13,0 %,15 %,3
6b,Sensitive meatball,,Teras Left,Teras Left,13,46 %,8 %,3
6b,Vanilya,,Kekik,Geyik,13,92 %,8 %,5
8b+,Obelix,,Alabalik,Alabalik,13,0 %,8 %,4
7b+,Akdeniz,,Akdeniz,Akdeniz,13,31 %,15 %,4
7b+,Cady Cane,,Turkish Standard,Turkish Standard,13,46 %,8 %,4
6c,Berberlerin kralı,,Ottoman left,Ottoman,13,39 %,15 %,4
7c,False in Truth,,Kanyon,Kanyon,13,8 %,8 %,4
6c+,N.N.,,Alabalik,Alabalik,12,58 %,0 %,2
6c+,Gekko Kebap,,Deli Kasap,Deli Kasap,12,67 %,0 %,1
7b,Insomnia,,Ottoman,Ottoman,12,50 %,0 %,3
6c,N.N.,,Koridor,Koridor,12,58 %,8 %,2
7b,Julia & Romeo,,Turkish Standard,Turkish Standard,12,33 %,0 %,2
4a,Smarter starter,,Yenicay,Yenicay,12,100 %,0 %,0
6a,Totem,,Dragon,Dragon,12,92 %,17 %,3
6a,Ushuaia,,Unknown Sector,Unknown Sector,12,83 %,8 %,3
8b,King Connection,,Trebenna West,Trebenna West,12,17 %,8 %,3
8a+,Masal,,esek uctu,Esekuctu,12,17 %,0 %,3
8b,4X4,,Akdeniz,Akdeniz,12,0 %,0 %,3
6b,Poker Face,,Top Alanı,Top Alanı,12,100 %,17 %,3
6b+,Barbarossa 16,,Barbarossa,Barbarossa,12,83 %,25 %,4
6a+,Just friends,,Mandela,Mandela,12,67 %,8 %,3
8a,Viva Chavez,,Ottoman,Ottoman,12,0 %,0 %,3
6b+,Ce nèst pas possible,,Rüzgarlı Bahçe Left,Rüzgarli Bahçe,12,83 %,0 %,3
7b+,Gathering,,Trebena West,Trebenna West,12,67 %,17 %,3
8b,King Connection,,Trebenna West,Trebenna West,12,17 %,8 %,3
8a+,Masal,,esek uctu,Esekuctu,12,17 %,0 %,3
7c+,Mambo Tango,,Echoes,Echoes,12,25 %,25 %,4
5a,Ranger travel,,Trebenna,Trebenna West,12,100 %,8 %,4
8c,Devers Royale,,Trebenna West,Trebenna West,12,8 %,25 %,3
5c,Aladdin'in lambasi,,Sarkit,Sarkit,12,83 %,0 %,3
7b,Rattlesnake Saloon,,Unknown Sector,Unknown Sector,12,25 %,8 %,4
6c,Susam,,Cesme,Cesme,11,82 %,0 %,3
6b,Teamwork,,Gizlibahce,Gizlibahce,11,91 %,9 %,3
7c+,Noniş,,Kanyon,Kanyon,11,0 %,9 %,4
8a,Dynamic Dynamite,,Trebenna West,Trebenna West,11,0 %,0 %,2
8a+,Star Wars,,Türkisch Standart,Turkish Standard,11,0 %,36 %,4
8b,Professur,,Trebenna West,Trebenna West,11,0 %,0 %,3
5a,Picasso Draws the Line,,Sincap 3,Sincap,11,82 %,27 %,3
7a+,Mikrop,,Sarkit,Sarkit,11,46 %,0 %,2
5b,Bisiklet,,Koridor,Koridor,11,100 %,9 %,3
8a,Memory of Giovanni (ext.),,Mevlana,Mevlana,11,0 %,18 %,3
6a,Alice in Wonderland,,Güzel Manzara,Güzel Manzara,11,64 %,9 %,4
